"Type","Code","Name","LEI code","Address"
"AIFM REG","A00003927","THE HARVEST FUND GP","39120071YQ5SPAF81F40","54, Rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00004172","ATIVORE LUX GP MANAGEMENT SARL","","4, rue Peternelchen, Cubus C3 L-2370 Howald"
"AIFM REG","A00003525","TESORA CAPITAL SA","","54, Rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00003811","BAUMSTEIN MANAGEMENT","","54, Rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00003865","LUXIS ASSET MANAGEMENT SÀRL","222100XVGBW66SFM8F62","54, Rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00004104","BLUEPEAK PRIVATE CAPITAL GP II","","1A, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00004173","UNRULY CAPITAL","","18, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00005043","BIZCAP EU MANAGEMENT S.À R.L.","529900ZBVDI9VKS30869","18, rue du Village L-6240 Graulinster"
"AIFM REG","A00003292","WOMEN’S AND CHILDREN’S HEALTH TECHNOLOGY FUND EU GP SARL","","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00000822","MAIN SOURCE S.A.","","26, Boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00005044","AYMO GP S.À R.L.","894500SNBBK1S2OD5609","12, rue des Mérovingiens L-8070 Bertrange"
"AIFM REG","A00005046","UAP GENERAL PARTNER SARL","6488J622SED8W22J5K82","26, rue Goethe L-1637 Luxembourg"
"AIFM REG","A00004174","EUROFUND MANAGEMENT S.À R.L.","","2, rue Heinrich Heine L-1720 Luxembourg"
"AIFM REG","A00004175","GROWTH CREDIT PARTNERS I GP SARL","","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00005047","STAR TREND CAPITAL S.À R.L.","","11, boulevard de la Foire L-1528 Luxembourg"
"AIFM REG","A00005048","ETERNA CAPITAL GP III","","11, avenue de la Porte-Neuve L-2227 Luxembourg"
"AIFM REG","A00003072","SPEARVEST MANAGEMENT S.À R.L.","","1, Haaptstrooss L-9806 Hosingen"
"AIFM REG","A00001195","BNP PARIBAS GENERAL PARTNER ASIA LBO III S.À R.L.","984500F52F41YABDC325","60, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM REG","A00004140","SALICA GROWTH DEBT FUND II GP S.À R.L.","","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00003393","VENCAP 16 GP (LUXEMBOURG) LIMITED","","2A, rue Nicolas Bové L-1253 Luxembourg"
"AIFM REG","A00004142","ALPES S.A R.L.","","2, Place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00005049","FIRST GLOBAL ALTERNATIVE ENERGY S.À R.L.","","11-13, boulevard de la Foire L-1528 Luxembourg"
"AIFM REG","A00003828","NACO S.À R.L.","","1A, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00003212","MIDDLEGAME VENTURES","","9, rue du Laboratoire L-1911 Luxembourg"
"AIFM REG","A00003446","GREENFIELD CAPITAL","","2C, Parc d'Activités L-8308 Capellen"
"AIFM REG","A00003528","EMONA GP S.À R.L.","","3, rue Dicks L-4081 Esch-sur-Alzette"
"AIFM REG","A00000001","QUINT:ESSENCE CAPITAL S.A.","529900YGUP368RTIZU58","2, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000019","GLOBAL FUND SELECTION SICAV","2138002KN1KGYVIK9K52","2, rue d'Alsace L-1122 Luxembourg"
"AIFM REG","A00000533","EYQUEM FUND","875500MDVMRNVMFH2M72","1B, rue Jean Piret L-2350 Luxembourg"
"AIFM REG","A00000020","FIRST GENEVA SICAV-FIS S.A.","549300K2N4H431GZI862","2, rue d'Alsace L-1122 Luxembourg"
"AIFM REG","A00000026","MARATHON INVESTMENT FUND","54930053VB7SPVTEB547","30, boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00000034","FAIRTRADE ACCESS FUND S.A., SICAV-SIF","549300K90WQIJWZ3EV95","2, rue d'Alsace L-1122 Luxembourg"
"AIFM REG","A00000035","KARAKTER INVEST, SICAV-FIS S.A.","5493000EG04LH8AEOT71","2, rue d'Alsace L-1122 Luxembourg"
"AIFM REG","A00000040","DUTCH VENTURE INITIATIVE S.A. SICAR","","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00000046","NORTH SEA CAPITAL PRIVATE EQUITY FUND OF FUNDS SCA SICAV-SIF","213800A7MKD89TQFPG25","26, boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00000049","GRIFFIN FUND SICAV-SIF","5493006IXBUB5DYUW554","42, rue de la Vallée L-2661 Luxembourg"
"AIFM REG","A00000051","ELITE WEALTH MANAGEMENT SIF-SICAV S.A.","222100EHCGR1LHZCUP94","28, avenue Monterey L-2163 Luxembourg"
"AIFM REG","A00000108","WEALTHCAP S.A. SICAV-SIF","529900OP467HXLDXTI65","5, allée Scheffer L-2520 Luxembourg"
"AIFM REG","A00000077","PHEIM SICAV-SIF","549300FTO1QZAYG7T945","12, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM REG","A00000086","STAR PRIVATE EQUITY OPPORTUNITIES S.A. SICAV-SIF","","1C, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000106","RE ENERGY MANAGEMENT S. A R.L.","","10, rue Antoine Jans L-1820 Luxembourg"
"AIFM REG","A00000110","COMPASS PRIVATE INVESTMENTS S.A. (FIS)","","22, rue des Bruyères L-1274 Howald"
"AIFM REG","A00000135","ALTERNATIVE INVESTMENTS I SICAV","5493003JBGL945FMFI96","1C, rue Gabriel Lippmann L-5365 Munsbach"
