"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00000372","GEN II MANAGEMENT COMPANY (LUXEMBOURG) SARL","984500EE83Q1FEA91F35","22, rue des Bruyères L-1274 Howald"
"AIFM AUT","A00000509","URBAN PARTNERS MANAGEMENT COMPANY S.A.","894500P2QKUZWYL47F67","16, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00000867","SOCIÉTÉ GÉNÉRALE INVESTMENT SOLUTIONS (EUROPE)","549300V9L98PWL1V0418","11, avenue Emile Reuter L-2420 Luxembourg"
"AIFM AUT","A00002391","STONEWEG INVESTMENT LUXEMBOURG S.À R.L.","213800PGUKWJ6VON6251","8, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002436","MACQUARIE ASSET MANAGEMENT EUROPE S.À R.L.","2221008OZQM47X2T5996","20, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00003701","INTERVEST CAPITAL PARTNERS S.À R.L.","213800BEOXQQ9NXROL09","28, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002111","CSC FUND MANAGEMENT (LUXEMBOURG) S.À R.L.","98450005EFBE8AB0A874","26, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM AUT","A00000582","MUNICH PRIVATE EQUITY PARTNERS MANAGEMENT S.A.","22210084X2AKEJ2SMT92","22, rue Alfred de Musset L-2175 Luxembourg"
"AIFM AUT","A00000955","ROTHSCHILD & CO INVESTMENT MANAGERS","549300LQIZZDDHTTK166","21, rue d'Epernay L-1490 Luxembourg"
"AIFM AUT","A00003095","FWU INVEST S.A.","222100CAMGUVOMFXYE59","12, rue du Château d'Eau L-3364 Leudelange"
"AIFM AUT","A00000165","EQT FUND MANAGEMENT S.A R.L.","254900MAEI5C653KEZ96","51A, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00003890","CINVEN FUND MANAGEMENT S.À R.L.","213800BFDDSK9P4RB793","4, rue Albert Borschette L-1246 Luxembourg"
"AIFM AUT","A00003660","COLLER INVESTMENT MANAGEMENT (LUXEMBOURG) S.À R.L.","8945001U1UWKWA3B7A07","37A, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00000283","BAYERNINVEST LUXEMBOURG S.A.","529900FCZQNSLXVWUT65","6B, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM AUT","A00001942","AMETHIS INVESTMENT FUND MANAGER S.A.","984500FB8FPA3636FC26","404, route d'Esch L-1471 Luxembourg"
